order_id,order_date,city,channel,category,customer_type,amount,quantity,converted
1001,2026-01-03,Shanghai,Search,Beauty,New,268.5,2,1
1002,2026-01-04,Beijing,Social,Electronics,Returning,899,1,1
1003,2026-01-05,Shenzhen,Referral,Food,New,126,3,0
1004,2026-01-06,Hangzhou,Search,Home,Returning,458,2,1
1005,2026-01-08,Guangzhou,Social,Beauty,New,199,1,0
1006,2026-01-09,Shanghai,Direct,Electronics,Returning,1299,1,1
1007,2026-01-10,Beijing,Search,Sports,New,329,2,1
1008,2026-01-11,Shenzhen,Social,Food,Returning,86,1,0
1009,2026-01-12,Hangzhou,Referral,Home,New,520,2,1
1010,2026-01-13,Guangzhou,Direct,Beauty,Returning,238,2,1
1011,2026-01-14,Shanghai,Search,Electronics,New,1560,1,1
1012,2026-01-15,Beijing,Social,Home,Returning,680,3,1
1013,2026-01-16,Shenzhen,Direct,Sports,New,299,1,0
1014,2026-01-17,Hangzhou,Search,Food,Returning,148,4,1
1015,2026-01-18,Guangzhou,Referral,Beauty,New,310,2,1
1016,2026-01-20,Shanghai,Social,Home,Returning,720,2,1
1017,2026-01-21,Beijing,Direct,Electronics,New,1099,1,1
1018,2026-01-22,Shenzhen,Search,Beauty,Returning,188,1,0
1019,2026-01-23,Hangzhou,Social,Sports,New,460,2,1
1020,2026-01-24,Guangzhou,Search,Food,Returning,98,2,0
1021,2026-02-02,Shanghai,Referral,Beauty,New,288,2,1
1022,2026-02-03,Beijing,Search,Home,Returning,610,2,1
1023,2026-02-04,Shenzhen,Social,Electronics,New,780,1,0
1024,2026-02-05,Hangzhou,Direct,Food,Returning,120,3,1
1025,2026-02-06,Guangzhou,Search,Sports,New,388,2,1
1026,2026-02-07,Shanghai,Social,Electronics,Returning,1680,1,1
1027,2026-02-08,Beijing,Referral,Beauty,New,230,1,0
1028,2026-02-09,Shenzhen,Search,Home,Returning,548,2,1
1029,2026-02-10,Hangzhou,Social,Food,New,76,1,0
1030,2026-02-11,Guangzhou,Direct,Electronics,Returning,920,1,1
