user_id,cohort_month,segment,city,signup_channel,active_day_1,active_day_7,retained_day_30,purchase_count,lifetime_value
r001,2026-01,New,Shanghai,Search,1,1,1,3,268
r002,2026-01,New,Beijing,Social,1,0,0,1,58
r003,2026-01,Returning,Shenzhen,Direct,1,1,1,5,620
r004,2026-01,New,Hangzhou,Referral,1,1,0,2,130
r005,2026-01,Returning,Guangzhou,Search,1,1,1,4,488
r006,2026-02,New,Shanghai,Social,1,0,0,1,42
r007,2026-02,Returning,Beijing,Direct,1,1,1,6,770
r008,2026-02,New,Shenzhen,Referral,1,1,0,2,116
r009,2026-02,Returning,Hangzhou,Search,1,1,1,4,530
r010,2026-02,New,Guangzhou,Social,1,0,0,1,66
r011,2026-03,New,Shanghai,Search,1,1,1,3,260
r012,2026-03,Returning,Beijing,Direct,1,1,1,5,690
r013,2026-03,New,Shenzhen,Social,1,0,0,1,51
r014,2026-03,Returning,Hangzhou,Referral,1,1,1,4,510
r015,2026-03,New,Guangzhou,Search,1,1,0,2,140
r016,2026-04,Returning,Shanghai,Direct,1,1,1,7,820
r017,2026-04,New,Beijing,Social,1,0,0,1,49
r018,2026-04,Returning,Shenzhen,Search,1,1,1,5,610
r019,2026-04,New,Hangzhou,Referral,1,1,0,2,122
r020,2026-04,Returning,Guangzhou,Direct,1,1,1,6,760
